We carried out a set of experiements with different values of N, M and L. The results for which are attached below. 

We used the naive greedy algorithm for calculating the shortest super string. N represents the length of the string, M the number of different fragments and L the length of each fragment. We find the ratio of the length of the original string to the length of the string we found using the algorithm. Along with this, we also find the time it takes to run that particular experiment and print this. 

The results are pasted below. 

N = 32, M = 8, L = 8, Coverage = 2.0000, Len(original)/Len(found) = 1.1428, Time = 0m0.005s
N = 32, M = 8, L = 16, Coverage = 4.0000, Len(original)/Len(found) = 1.0322, Time = 0m0.005s
N = 32, M = 16, L = 8, Coverage = 4.0000, Len(original)/Len(found) = 1.1034, Time = 0m0.004s
N = 32, M = 16, L = 16, Coverage = 8.0000, Len(original)/Len(found) = 1.0322, Time = 0m0.003s
N = 32, M = 32, L = 8, Coverage = 8.0000, Len(original)/Len(found) = 1.0322, Time = 0m0.009s
N = 32, M = 32, L = 16, Coverage = 16.0000, Len(original)/Len(found) = 1.0322, Time = 0m0.011s
N = 32, M = 64, L = 8, Coverage = 16.0000, Len(original)/Len(found) = 1.0322, Time = 0m0.055s
N = 32, M = 64, L = 16, Coverage = 32.0000, Len(original)/Len(found) = 1.0000, Time = 0m0.072s
N = 32, M = 128, L = 8, Coverage = 32.0000, Len(original)/Len(found) = 1.0000, Time = 0m0.403s
N = 32, M = 128, L = 16, Coverage = 64.0000, Len(original)/Len(found) = 1.0000, Time = 0m0.542s
N = 32, M = 256, L = 8, Coverage = 64.0000, Len(original)/Len(found) = 1.0000, Time = 0m3.216s
N = 32, M = 256, L = 16, Coverage = 128.0000, Len(original)/Len(found) = 1.0000, Time = 0m4.486s
N = 32, M = 512, L = 8, Coverage = 128.0000, Len(original)/Len(found) = 1.0000, Time = 0m25.624s
N = 32, M = 512, L = 16, Coverage = 256.0000, Len(original)/Len(found) = 1.0000, Time = 0m35.750s
N = 64, M = 8, L = 8, Coverage = 1.0000, Len(original)/Len(found) = 1.5609, Time = 0m0.003s
N = 64, M = 8, L = 16, Coverage = 2.0000, Len(original)/Len(found) = 1.2800, Time = 0m0.002s
N = 64, M = 8, L = 32, Coverage = 4.0000, Len(original)/Len(found) = 1.2075, Time = 0m0.003s
N = 64, M = 16, L = 8, Coverage = 2.0000, Len(original)/Len(found) = 1.2549, Time = 0m0.003s
N = 64, M = 16, L = 16, Coverage = 4.0000, Len(original)/Len(found) = 1.0491, Time = 0m0.003s
N = 64, M = 16, L = 32, Coverage = 8.0000, Len(original)/Len(found) = 1.1428, Time = 0m0.005s
N = 64, M = 32, L = 8, Coverage = 4.0000, Len(original)/Len(found) = 1.0491, Time = 0m0.008s
N = 64, M = 32, L = 16, Coverage = 8.0000, Len(original)/Len(found) = 1.0491, Time = 0m0.011s
N = 64, M = 32, L = 32, Coverage = 16.0000, Len(original)/Len(found) = 1.0666, Time = 0m0.016s
N = 64, M = 64, L = 8, Coverage = 8.0000, Len(original)/Len(found) = 1.0000, Time = 0m0.049s
N = 64, M = 64, L = 16, Coverage = 16.0000, Len(original)/Len(found) = 1.0158, Time = 0m0.062s
N = 64, M = 64, L = 32, Coverage = 32.0000, Len(original)/Len(found) = 1.0000, Time = 0m0.097s
N = 64, M = 128, L = 8, Coverage = 16.0000, Len(original)/Len(found) = 1.0000, Time = 0m0.360s
N = 64, M = 128, L = 16, Coverage = 32.0000, Len(original)/Len(found) = 1.0000, Time = 0m0.476s
N = 64, M = 128, L = 32, Coverage = 64.0000, Len(original)/Len(found) = 1.0000, Time = 0m0.781s
N = 64, M = 256, L = 8, Coverage = 32.0000, Len(original)/Len(found) = 1.0000, Time = 0m2.832s
N = 64, M = 256, L = 16, Coverage = 64.0000, Len(original)/Len(found) = 1.0000, Time = 0m3.757s
N = 64, M = 256, L = 32, Coverage = 128.0000, Len(original)/Len(found) = 1.0000, Time = 0m6.017s
N = 64, M = 512, L = 8, Coverage = 64.0000, Len(original)/Len(found) = 1.0000, Time = 0m22.461s
N = 64, M = 512, L = 16, Coverage = 128.0000, Len(original)/Len(found) = 1.0000, Time = 0m31.217s
N = 64, M = 512, L = 32, Coverage = 256.0000, Len(original)/Len(found) = 1.0000, Time = 0m49.674s
N = 128, M = 8, L = 8, Coverage = .5000, Len(original)/Len(found) = 2.1694, Time = 0m0.004s
N = 128, M = 8, L = 16, Coverage = 1.0000, Len(original)/Len(found) = 1.7777, Time = 0m0.003s
N = 128, M = 8, L = 32, Coverage = 2.0000, Len(original)/Len(found) = 1.3473, Time = 0m0.002s
N = 128, M = 8, L = 64, Coverage = 4.0000, Len(original)/Len(found) = 1.0578, Time = 0m0.005s
N = 128, M = 16, L = 8, Coverage = 1.0000, Len(original)/Len(found) = 1.4883, Time = 0m0.005s
N = 128, M = 16, L = 16, Coverage = 2.0000, Len(original)/Len(found) = 1.2929, Time = 0m0.004s
N = 128, M = 16, L = 32, Coverage = 4.0000, Len(original)/Len(found) = 1.2075, Time = 0m0.004s
N = 128, M = 16, L = 64, Coverage = 8.0000, Len(original)/Len(found) = 1.0578, Time = 0m0.006s
N = 128, M = 32, L = 8, Coverage = 2.0000, Len(original)/Len(found) = 1.1531, Time = 0m0.009s
N = 128, M = 32, L = 16, Coverage = 4.0000, Len(original)/Len(found) = 1.0940, Time = 0m0.012s
N = 128, M = 32, L = 32, Coverage = 8.0000, Len(original)/Len(found) = 1.1851, Time = 0m0.025s
N = 128, M = 32, L = 64, Coverage = 16.0000, Len(original)/Len(found) = 1.0158, Time = 0m0.023s
N = 128, M = 64, L = 8, Coverage = 4.0000, Len(original)/Len(found) = 1.0756, Time = 0m0.049s
N = 128, M = 64, L = 16, Coverage = 8.0000, Len(original)/Len(found) = 1.0000, Time = 0m0.061s
N = 128, M = 64, L = 32, Coverage = 16.0000, Len(original)/Len(found) = 1.0847, Time = 0m0.098s
N = 128, M = 64, L = 64, Coverage = 32.0000, Len(original)/Len(found) = 1.0000, Time = 0m0.155s
N = 128, M = 128, L = 8, Coverage = 8.0000, Len(original)/Len(found) = 1.0078, Time = 0m0.349s
N = 128, M = 128, L = 16, Coverage = 16.0000, Len(original)/Len(found) = 1.0000, Time = 0m0.427s
N = 128, M = 128, L = 32, Coverage = 32.0000, Len(original)/Len(found) = 1.0158, Time = 0m0.737s
N = 128, M = 128, L = 64, Coverage = 64.0000, Len(original)/Len(found) = 1.0000, Time = 0m1.241s
N = 128, M = 256, L = 8, Coverage = 16.0000, Len(original)/Len(found) = 1.0000, Time = 0m2.768s
N = 128, M = 256, L = 16, Coverage = 32.0000, Len(original)/Len(found) = 1.0000, Time = 0m3.500s
N = 128, M = 256, L = 32, Coverage = 64.0000, Len(original)/Len(found) = 1.0078, Time = 0m5.451s
N = 128, M = 256, L = 64, Coverage = 128.0000, Len(original)/Len(found) = 1.0000, Time = 0m9.809s
N = 128, M = 512, L = 8, Coverage = 32.0000, Len(original)/Len(found) = 1.0000, Time = 0m22.134s
N = 128, M = 512, L = 16, Coverage = 64.0000, Len(original)/Len(found) = 1.0000, Time = 0m27.343s
N = 128, M = 512, L = 32, Coverage = 128.0000, Len(original)/Len(found) = 1.0000, Time = 0m43.798s
N = 128, M = 512, L = 64, Coverage = 256.0000, Len(original)/Len(found) = 1.0000, Time = 1m14.628s
N = 256, M = 8, L = 8, Coverage = .2500, Len(original)/Len(found) = 4.8301, Time = 0m0.003s
N = 256, M = 8, L = 16, Coverage = .5000, Len(original)/Len(found) = 2.6122, Time = 0m0.003s
N = 256, M = 8, L = 32, Coverage = 1.0000, Len(original)/Len(found) = 1.8285, Time = 0m0.003s
N = 256, M = 8, L = 64, Coverage = 2.0000, Len(original)/Len(found) = 1.2994, Time = 0m0.004s
N = 256, M = 8, L = 128, Coverage = 4.0000, Len(original)/Len(found) = 1.0711, Time = 0m0.003s
N = 256, M = 16, L = 8, Coverage = .5000, Len(original)/Len(found) = 2.6947, Time = 0m0.004s
N = 256, M = 16, L = 16, Coverage = 1.0000, Len(original)/Len(found) = 1.4970, Time = 0m0.004s
N = 256, M = 16, L = 32, Coverage = 2.0000, Len(original)/Len(found) = 1.5058, Time = 0m0.004s
N = 256, M = 16, L = 64, Coverage = 4.0000, Len(original)/Len(found) = 1.1277, Time = 0m0.006s
N = 256, M = 16, L = 128, Coverage = 8.0000, Len(original)/Len(found) = 1.0364, Time = 0m0.007s
N = 256, M = 32, L = 8, Coverage = 1.0000, Len(original)/Len(found) = 1.5421, Time = 0m0.010s
N = 256, M = 32, L = 16, Coverage = 2.0000, Len(original)/Len(found) = 1.2673, Time = 0m0.010s
N = 256, M = 32, L = 32, Coverage = 4.0000, Len(original)/Len(found) = 1.0987, Time = 0m0.014s
N = 256, M = 32, L = 64, Coverage = 8.0000, Len(original)/Len(found) = 1.0491, Time = 0m0.060s
N = 256, M = 32, L = 128, Coverage = 16.0000, Len(original)/Len(found) = 1.0118, Time = 0m0.055s
N = 256, M = 64, L = 8, Coverage = 2.0000, Len(original)/Len(found) = 1.1377, Time = 0m0.051s
N = 256, M = 64, L = 16, Coverage = 4.0000, Len(original)/Len(found) = 1.0406, Time = 0m0.069s
N = 256, M = 64, L = 32, Coverage = 8.0000, Len(original)/Len(found) = 1.0158, Time = 0m0.083s
N = 256, M = 64, L = 64, Coverage = 16.0000, Len(original)/Len(found) = 1.0847, Time = 0m0.157s
N = 256, M = 64, L = 128, Coverage = 32.0000, Len(original)/Len(found) = 1.0000, Time = 0m0.241s
N = 256, M = 128, L = 8, Coverage = 4.0000, Len(original)/Len(found) = 1.0364, Time = 0m0.354s
N = 256, M = 128, L = 16, Coverage = 8.0000, Len(original)/Len(found) = 1.0118, Time = 0m0.409s
N = 256, M = 128, L = 32, Coverage = 16.0000, Len(original)/Len(found) = 1.0118, Time = 0m0.590s
